author,original_message,reply_emojis,encoded
e.rinh,imagine not having nitro lisa,:lisaCat:,0
bombard21,make everyone admin,:heheHarrison:,1
e.rinh,take photo of food,:catCry:,2
e.rinh,you are mean,:ken:,3
bombard21,No,:mad:,4
abuffaloherd,What’s this place,:ken:,3
e.rinh,stay home all week,:lisaCat:,0
wobkobi,What’s been happening,:skull~1:,5
csonic235,@pizza 💅🏻,:catCry:,2
csonic235,what is wrong with you,:joever:,6
csonic235,what is wrong with you,:joever:,6
gentleman_nathan,Thé robbing of the Monalisa,SHUT UP,7
wobkobi,wtf,https://cdn.discordapp.com/emojis/1070869015343411210.webp?size=128&quality=lossless,8
gentleman_nathan,You’re good,https://cdn.discordapp.com/emojis/1070869015343411210.webp?size=128&quality=lossless,8
wobkobi,@pizza 💅🏻 you made erin leave,:clown~1:,9
wobkobi,Where tho,https://cdn.discordapp.com/emojis/1069084325720637500.webp?size=128&quality=lossless,10
wobkobi,I’m confused,:catCry:,2
e.rinh,barbie life in the dream house 🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷,https://cdn.discordapp.com/emojis/1069084325720637500.webp?size=128&quality=lossless,10
csonic235,it was me,:lisaCat:,0
bureikuz,@pizza 💅🏻 please change @brioche 🦑's name to ham,:slayy:,11
csonic235,🔪🔪,:pigShock:,12
e.rinh,let me shower first :catCry:,:hmm:,13
e.rinh,so i have no days off :lisaCat:,:lisaCat:,0
bureikuz,hoping to get better soon :YesYes:,https://cdn.discordapp.com/emojis/881182531536449587.gif?size=128&quality=lossless,14
e.rinh,that’s not an answer,https://cdn.discordapp.com/emojis/750768558975484065.webp?size=128&quality=lossless,15
buddymmmm1,Be a stripper?,:ohHello:,16
e.rinh,she likes the British YouTubers,https://cdn.discordapp.com/emojis/881182531536449587.gif?size=128&quality=lossless,14
wobkobi,fell,:mad:,4
bombard21,ah,:ohHello:,16
gentleman_nathan,@pizza 💅🏻 when fortnite,:skull~1:,5
e.rinh,cause marmite >,https://cdn.discordapp.com/emojis/881182531536449587.gif?size=128&quality=lossless,14
wobkobi,I didn’t see the due next week part,:catcry:,17
bombard21,peeeee yew,:gun:,18
wobkobi,She needs to finish the battle pass tho,:lisaCat:,0
wobkobi,shud up u work,:mad:,4
wobkobi,i havent in 4,https://cdn.discordapp.com/emojis/750768558975484065.webp?size=128&quality=lossless,15
wobkobi,also why not watch barbie in imax lmao,https://cdn.discordapp.com/emojis/954378740958363748.webp?size=128&quality=lossless,19
wobkobi,NEXT MONDAY,https://cdn.discordapp.com/emojis/881182531536449587.gif?size=128&quality=lossless,14
wobkobi,why hate queens street,:pigShock:,12
bureikuz,Oh morphine,:catCry:,2
gentleman_nathan,Oh bruh that’s true,:catCry:,2
e.rinh,failed the first quiz,:lisaCat:,0
e.rinh,WHAT HAPPENED TO SAVING MONEY :ken:,:catcry:,17
e.rinh,$2.50 big difference,:catCry:,2
gentleman_nathan,You better come with it tmr,:lisaCat:,0
gentleman_nathan,UOIR LAPTOP WILL,:angy:,20
yungmarin,bro nathan speaking fax fr,:nathanielScary:,21
wobkobi,do you think tip top stopped making cookies and cream when they started making official oero ice cream stuff,:erinnnnnnnnnnnnnn:,22
yungmarin,i wasted one of my 50% off on getting a Mcflurry and coffee,:lisaCat:,0
e.rinh,okay drunk,:catcry:,17
e.rinh,YOU :mad: :mad: :mad: :mad:,https://cdn.discordapp.com/emojis/1069084325720637500.webp?size=128&quality=lossless,10
gentleman_nathan,Glad you’re okay 🫡,:yay:,23
wobkobi,HUH,https://cdn.discordapp.com/emojis/841886073519996979.gif?size=128&quality=lossless,24
wobkobi,Where’s ur bereal,:catCry:,2
bombard21,damn we compensated for all the money we printed during covid,:lisaCat:,0
gentleman_nathan,I saw an Monalisa today,:nathanielScary:,21
e.rinh,10 mins still,:erinnnnnnnnnnnnnn:,22
bombard21,Caperinno,:catCry:,2
e.rinh,come to 315 when done https://cdn.discordapp.com/emojis/881182531536449587.gif?size=128&quality=lossless,:mad:,4
csonic235,🤡,:clown~1:,9
e.rinh,29th,:lisaCat:,0
wobkobi,Poor Chad,:lisaCat:,0
wobkobi,No it’s work,:lisaCat:,0
e.rinh,:catcry:,:catcry:,17
buddymmmm1,NO FACE,https://cdn.discordapp.com/emojis/750768558975484065.webp?size=128&quality=lossless,15
e.rinh,is this barbie nail polish,https://cdn.discordapp.com/emojis/841886073519996979.gif?size=128&quality=lossless,24
bombard21,:yay:,:yay:,23
e.rinh,:catcry:,:catcry:,17
wobkobi,you didnt know?,:mad:,4
bombard21,Originally it's a gif,:erinnnnnnnnnnnnnn:,22
e.rinh,:erinnnnnnnnnnnnnn:,:erinnnnnnnnnnnnnn:,22
wobkobi,throw up,https://cdn.discordapp.com/emojis/841886073519996979.gif?size=128&quality=lossless,24
e.rinh,needles are fine if I don’t see how big it is before 😭,https://cdn.discordapp.com/emojis/1070869015343411210.webp?size=128&quality=lossless,8
e.rinh,baby*,:erinnnnnnnnnnnnnn:,22
e.rinh,:SCyawn2:,:erinnnnnnnnnnnnnn:,22
e.rinh,it’s cold,:pigCold:,25
e.rinh,everyone feeding into u,:lisaCat:,0
gentleman_nathan,I do,:nathanielScary:,21
wobkobi,just how ur :barbieGal:,:harryBarbie:,26
e.rinh,bruh,:skull~1:,5
nekoshay,I haven't been on today 😁💖,https://cdn.discordapp.com/emojis/881182531536449587.gif?size=128&quality=lossless,14
bombard21,we should all go walk down there and get shot,:erinnnnnnnnnnnnnn:,22
nekoshay,"Confront the guy, tell him hes dumb and to stop",https://cdn.discordapp.com/emojis/1069084325720637500.webp?size=128&quality=lossless,10
bombard21,# LISA JUST COME AND CATCH THE 70 WHERE U AVOID QUAY STREET,:catCry:,2
gentleman_nathan,My dad told me not to go,:erinnnnnnnnnnnnnn:,22
bombard21,I AM GOING HOME AFTER THIS,:pigWoozy:,27
nekoshay,I saw 1 not 2,:catCry:,2
oc2906,and your dead,:lisaCat:,0
e.rinh,imagine your coworker pulling a gun on you,:catCry:,2
bombard21,"""this isint a usual occurance""",:lisaCat:,0
gentleman_nathan,Ambuslance have treated 3 patients,:catCry:,2
gentleman_nathan,One of the construction workers actually saw the guy come upstairs with the gun,:gun:,18
nekoshay,Norways like tf man nothing like home smdh,:pigWoozy:,27
nekoshay,A POLICE?,:catCry:,2
nekoshay,"""so it shouldn't be that serious""",:angy:,20
nekoshay,@pizza 💅🏻 I swear to god if it was the guy we saw live,:catCry:,2
e.rinh,i hope that police officer didn’t die,:catCry:,2
bombard21,gun shots,:gun:,18
nekoshay,Okay gunman confirmed ded,:gun:,18
e.rinh,and their families expecting them to come home,:pigWoozy:,27
nekoshay,Lisa might get shot by his ghost,:erinnnnnnnnnnnnnn:,22
nekoshay,Then he stepped down now its luxon,:lisaCat:,0
nekoshay,"Nz ""celebrities"" when they're just journalists n news reporters XD",:skull~1:,5
e.rinh,4:00 PM,:mad:,4
e.rinh,nah i have to be home today soz cause technician coming :catCry:,:pigWoozy:,27
e.rinh,i legit get there in time for my class,:catCry:,2
oc2906,just to theive from you,https://cdn.discordapp.com/emojis/1089829892616618025.webp?size=128&quality=lossless,28
wobkobi,Facebook,:erinnnnnnnnnnnnnn:,22
oc2906,mad cuz bad,https://cdn.discordapp.com/emojis/1070869015343411210.webp?size=128&quality=lossless,8
oc2906,i said women not nz,SHUT UP,7
buddymmmm1,Idc what gender they are as long as nz is winning,BASED,29
buddymmmm1,Do a fortnite bet,https://cdn.discordapp.com/emojis/1069084325720637500.webp?size=128&quality=lossless,10
e.rinh,they currently better than nz at rugby too,:erinnnnnnnnnnnnnn:,22
buddymmmm1,So cold,https://cdn.discordapp.com/emojis/841886073519996979.gif?size=128&quality=lossless,24
wobkobi,so normal day,https://cdn.discordapp.com/emojis/750768558975484065.webp?size=128&quality=lossless,15
